id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-V:u_xx,core-V,1,0.49996406795355863,8.743306282342466e-05,0.4999640679535588,8.743306282342467e-05,0.49996406795355885,8.743306282342466e-05,0.49996406795355847,8.743306282342471e-05,0.49996406795355874,8.743306282342469e-05,-1.6653345369377348e-16,2.3731557050393974e-12,-5.551115123125783e-17,1.0613074955319066e-12,-2.220446049250313e-16,5.615911395492438e-12,1.4465851182973924e-11
core-V:u_xx,core-V,2,0.4999544329925343,9.947654046355508e-05,0.4999544329925342,9.947654046355512e-05,0.4999544329925342,9.94765404635551e-05,0.49995443299253434,9.947654046355505e-05,0.4999544329925342,9.947654046355517e-05,5.551115123125783e-17,0.0,0.0,1.838238504714941e-12,1.6653345369377348e-16,3.0018309080588904e-12,7.732370550583798e-12
core-V:speed,core-V,0,2.1856529484289915,0.0005324854575973763,2.1888979201413177,0.0005331334251337222,2.1954061733124988,0.0005344382779080419,2.1824079767166653,0.0005318395011137167,2.1823896669701366,0.0005318366107488364,-0.0032449717123261834,1.220416799015003e-06,-0.006508253171181089,2.4449372685770287e-06,1.830974652872186e-05,2.574463976899506e-06,2.4941126281224752e-05
core-V:speed,core-V,1,2.1858522015567683,0.0006514840997675093,2.1890982627581748,0.0006522782374822597,2.1956073949535515,0.0006538783585107516,2.182606140355362,0.000650692421597476,2.182589130562798,0.000650687954643127,-0.0032460612014064694,1.4936729204982436e-06,-0.006509132195376743,2.9936483130460073e-06,1.7009792563804638e-05,3.148995467456117e-06,2.5121067365466784e-05
core-V:speed,core-V,2,2.1858538771366898,0.0007405996319806085,2.1890994046017918,0.0007415035448584885,2.195605307743527,0.0007433233766034333,2.182608349671588,0.0007396985183929332,2.1825935014600564,0.0007396949267636169,-0.0032455274651019828,1.699319095932777e-06,-0.006505903141735381,3.4068173969887493e-06,1.4848211531415245e-05,3.5823419559741165e-06,2.407571291677088e-05
core-V:spatial,core-V,0,0.6369882011155833,0.00135300120829675,0.6368073937672545,0.0013526278531329579,0.63644026239411,0.0013518651866616872,0.6371690084639121,0.0013533788680422701,0.637174525140399,0.0013534076646378658,0.0001808073483288153,2.442358442341401e-06,0.0003671313731444803,4.877061933847122e-06,-5.516676486849725e-06,5.651207451709148e-06,2.007322224111971e-05
core-V:spatial,core-V,1,0.6367886609979401,0.0017472883238930426,0.6366075589370073,0.0017468069519715316,0.6362412900069949,0.0017458281573210313,0.6369697630588729,0.0017477753152832357,0.6369738278670196,0.0017478080939838697,0.0001811020609328029,3.1706894808358326e-06,0.00036626893001234784,6.32587457706185e-06,-4.064808146742038e-06,7.327835674310869e-06,2.2940062007864657e-05
core-V:spatial,core-V,2,0.6375371686864949,0.00202960292232491,0.6373559471984167,0.0020290509420525333,0.6369894648913779,0.002027929467475497,0.6377183901745731,0.002030161487883788,0.6377224295054555,0.0020301986813805297,0.00018122148807819816,3.697817677881851e-06,0.0003664823070388401,7.3878293885228625e-06,-4.039330882443792e-06,8.537781319855582e-06,2.6031198193002705e-05
core-V:v_x,core-V,0,-0.0001753412716592536,0.00024977579090477075,-0.0001758154655768556,0.0002499215925387562,-0.00017678331129120082,0.00025021339459203456,-0.00017486707774165162,0.00024963044028305603,-0.00017484761986251036,0.00024963159888833573,4.7419391760198325e-07,3.658475180801855e-07,9.678457143452268e-07,7.325170987723358e-07,-1.9457879141260292e-08,8.692904416652854e-07,2.25860167203516e-06
core-V:v_x,core-V,1,-0.0002807769086519246,0.00030491443185905225,-0.0002813380389379071,0.0003050941695775663,-0.0002820618149350378,0.00030545299869323765,-0.00028021577836594207,0.0003047352473632005,-0.0002806142629407764,0.00030473755553818486,5.611302859825202e-07,4.482097045877627e-07,7.237759971307021e-07,8.965337778925284e-07,3.984845748344467e-07,1.0628775919669859e-06,3.136275822256525e-06
